Time,Soil(%),Temp(C),Humidity(%),Motor,Rain,PIR
0:08:27,41,30.6,87.3,Off,No,Found
0:08:28,41,30.6,87.1,Off,No,Found
0:08:29,41,30.6,87.1,Off,No,Found
0:08:30,41,30.6,87,Off,No,Found
0:08:31,41,30.6,86.8,Off,No,Found
0:08:32,41,30.6,86.9,Off,No,Found
0:08:33,41,30.6,86.8,Off,No,Found
0:08:34,41,30.6,86.7,Off,No,Found
0:08:35,41,30.6,86.6,Off,No,Found
0:08:36,41,30.6,86.4,Off,No,Found
0:08:37,41,30.6,86.2,Off,No,Found
0:08:38,41,30.6,86.5,Off,No,Found
0:08:39,41,30.6,86.6,Off,No,Found
0:08:40,41,30.6,86.9,Off,No,Found
0:08:41,41,30.6,86.8,Off,No,Found
0:08:42,41,30.6,86.9,Off,No,Found
0:08:43,41,30.6,87.1,Off,No,Found
0:08:44,41,30.6,87.4,Off,No,Found
0:08:45,41,30.6,87.4,Off,No,Found
0:08:46,41,30.6,87.4,Off,No,Found
0:08:47,41,30.5,87.5,Off,No,Found
0:08:48,41,30.5,87.4,Off,No,Found
0:08:49,41,30.5,87.5,Off,No,Found
0:08:50,41,30.5,87.5,Off,No,Found
0:08:51,41,30.5,87.5,Off,No,Found
0:08:52,41,30.5,87.3,Off,No,Found
0:08:53,41,30.5,87.3,Off,No,Found
0:08:54,41,30.5,87.2,Off,No,Found
0:08:55,41,30.5,87.1,Off,No,Found
0:08:56,41,30.5,87.1,Off,No,Found
0:08:57,41,30.5,87,Off,No,Found
0:08:58,41,30.5,87.5,Off,No,Found
0:08:59,41,30.5,87.5,Off,No,Found
0:09:00,41,30.5,87.5,Off,No,Found
0:09:01,41,30.5,87.4,Off,No,Found
0:09:02,41,30.5,87.4,Off,No,Found
0:09:03,41,30.5,87.5,Off,No,Found
0:09:04,41,30.6,87.6,Off,No,Found
0:09:05,41,30.5,87.3,Off,No,Found
0:09:06,41,30.5,87.5,Off,No,Found
0:09:07,41,30.6,87.4,Off,No,Found
0:09:08,41,30.5,87.4,Off,No,Found
0:09:09,41,30.5,87.5,Off,No,Found
0:09:10,41,30.6,87.5,Off,No,Found
0:09:11,41,30.6,87.3,Off,No,Found
0:09:12,41,30.6,87.2,Off,No,Found
0:09:13,41,30.6,87.3,Off,No,Found
0:09:14,41,30.6,87.2,Off,No,Found
0:09:15,41,30.6,87.1,Off,No,Found
0:09:16,41,30.6,87,Off,No,Found
0:09:17,41,30.6,86.7,Off,No,Found
0:09:18,41,30.6,86.8,Off,No,Found
0:09:19,41,30.6,86.8,Off,No,Found
0:09:20,41,30.6,86.8,Off,No,Found
0:09:21,41,30.6,86.8,Off,No,Found
0:09:22,41,30.6,87,Off,No,Found
0:09:23,41,30.6,86.8,Off,No,Found
0:09:24,41,30.6,86.9,Off,No,Found
0:09:25,41,30.6,86.8,Off,No,Found
0:09:26,41,30.6,86.7,Off,No,Found
0:09:27,41,30.6,87,Off,No,Found
0:09:28,41,30.6,86.9,Off,No,Found
0:09:29,41,30.6,86.8,Off,No,Found
0:09:30,41,30.6,86.8,Off,No,Found
0:09:31,41,30.6,86.8,Off,No,Found
0:09:32,41,30.6,86.8,Off,No,Found
0:09:33,41,30.6,86.7,Off,No,Found
0:09:34,41,30.6,86.9,Off,No,Found
0:09:35,41,30.6,86.9,Off,No,Found
0:09:36,41,30.6,86.7,Off,No,Found
0:09:37,41,30.6,86.7,Off,No,Found
0:09:38,41,30.6,86.6,Off,No,Found
0:09:39,41,30.6,86.5,Off,No,Found
0:09:40,41,30.6,86.4,Off,No,Found
0:09:41,41,30.6,86.8,Off,No,Found
0:09:42,41,30.6,86.9,Off,No,Found
0:09:43,41,30.6,87,Off,No,Found
0:09:44,41,30.6,87.2,Off,No,Found
0:09:45,41,30.6,87.1,Off,No,Found
0:09:46,41,30.6,87.2,Off,No,Found
0:09:47,41,30.6,87.1,Off,No,Found
0:09:48,41,30.6,87.1,Off,No,Found
0:09:49,41,30.5,87.1,Off,No,Found
0:09:50,41,30.5,87.2,Off,No,Found
0:09:51,41,30.5,87.2,Off,No,Found
0:09:52,41,30.5,87.2,Off,No,Found
0:09:53,41,30.5,87.1,Off,No,Found
0:09:54,41,30.5,87.3,Off,No,Found
0:09:55,41,30.5,87.5,Off,No,Found
0:09:56,41,30.5,87.6,Off,No,Found
0:09:57,41,30.5,87.4,Off,No,Found
0:09:58,41,30.5,87.8,Off,No,Found
0:09:59,41,30.5,87.6,Off,No,Found
0:10:00,41,30.5,87.3,Off,No,Found
0:10:01,41,30.5,87.4,Off,No,Found
0:10:02,41,30.5,87.4,Off,No,Found
0:10:03,41,30.5,87.3,Off,No,Found
0:10:04,41,30.5,87,Off,No,Found
0:10:05,41,30.5,87,Off,No,Found
0:10:06,41,30.5,87.1,Off,No,Found
0:10:07,41,30.5,87,Off,No,Found
0:10:08,41,30.5,87.2,Off,No,Found
0:10:09,40,30.5,87.2,Off,No,Found
0:10:10,40,30.5,87.1,Off,No,Found
0:10:11,40,30.5,87.2,Off,No,Found
0:10:12,40,30.5,87.2,Off,No,Found
0:10:13,40,30.5,87.2,Off,No,Found
0:10:14,40,30.5,87.3,Off,No,Found
0:10:15,40,30.5,87.2,Off,No,Found
0:10:16,40,30.5,87.2,Off,No,Found
0:10:17,40,30.5,87.1,Off,No,Found
0:10:18,41,30.5,87.4,Off,No,Found
0:10:19,41,30.5,87.5,Off,No,Found
0:10:20,40,30.5,87.3,Off,No,Found
0:10:21,40,30.5,87.3,Off,No,Found
0:10:22,40,30.5,87.4,Off,No,Found
0:10:23,40,30.5,87.4,Off,No,Found
0:10:24,40,30.5,87.4,Off,No,Found
0:10:25,40,30.5,87.3,Off,No,Found
0:10:26,40,30.5,87.4,Off,No,Found
0:10:27,40,30.5,87.5,Off,No,Found
0:10:28,40,30.5,87.5,Off,No,Found
0:10:29,40,30.5,87.4,Off,No,Found
0:10:30,40,30.5,87.3,Off,No,Found
0:10:31,40,30.5,87.5,Off,No,Found
0:10:32,40,30.5,87.5,Off,No,Found
0:10:33,40,30.5,87.3,Off,No,Found
0:10:34,40,30.5,87.6,Off,No,Found
0:10:35,40,30.5,87.3,Off,No,Found
0:10:36,40,30.5,87.7,Off,No,Found
0:10:37,40,30.5,87.4,Off,No,Found
0:10:38,40,30.5,87.3,Off,No,Found
